movie_name,movie_release_date,movie_production_budget,movie_opening_weekend,movie_domestic_box_office,movie_worldwide_box_office
Spider-Man: No Way Home,2021-12-17,200000000.00,260138569.00,727636280.00,1697736280.00
Eternals,2021-11-05,200000000.00,71297219.00,164870264.00,399013323.00
Shang-Chi and the Legend of…,2021-09-03,150000000.00,75388688.00,224543292.00,417919868.00
Black Widow,2021-07-09,200000000.00,80366312.00,183651655.00,375474179.00
Spider-Man: Far From Home,2019-07-02,160000000.00,92579212.00,390532085.00,1132532832.00
Avengers: Endgame,2019-04-26,400000000.00,357115007.00,858373000.00,2797800564.00
Captain Marvel,2019-03-08,175000000.00,153433423.00,426829839.00,1129727388.00
Ant-Man and the Wasp,2018-07-06,130000000.00,75812205.00,216648740.00,623144660.00
Avengers: Infinity War,2018-04-27,300000000.00,257698183.00,678815482.00,2048359754.00
Black Panther,2018-02-16,200000000.00,202003951.00,700059566.00,1336494321.00
Thor: Ragnarok,2017-11-03,180000000.00,122744989.00,315058289.00,850482778.00
Spider-Man: Homecoming,2017-07-07,175000000.00,117027503.00,334201140.00,878346440.00
Guardians of the Galaxy Vol 2,2017-05-05,200000000.00,146510104.00,389813101.00,869113101.00
Doctor Strange,2016-11-04,165000000.00,85058311.00,232641920.00,676354481.00
Captain America: Civil War,2016-05-06,250000000.00,179139142.00,408084349.00,1151918521.00
Ant-Man,2015-07-17,130000000.00,57225526.00,180202163.00,518858449.00
Avengers: Age of Ultron,2015-05-01,365000000.00,191271109.00,459005868.00,1395316979.00
Guardians of the Galaxy,2014-08-01,170000000.00,94320883.00,333714112.00,770882395.00
Captain America: The Winter…,2014-04-04,170000000.00,95023721.00,259746958.00,714401889.00
Thor: The Dark World,2013-11-08,150000000.00,85737841.00,206362140.00,644602516.00
Iron Man 3,2013-05-03,200000000.00,174144585.00,408992272.00,1215392272.00
The Avengers,2012-05-04,225000000.00,207438708.00,623357910.00,1515100211.00
Captain America: The First …,2011-07-22,140000000.00,65058524.00,176654505.00,370569776.00
Thor,2011-05-06,150000000.00,65723338.00,181030624.00,449326618.00
Iron Man 2,2010-05-07,170000000.00,128122480.00,312433331.00,621156389.00
The Incredible Hulk,2008-06-13,137500000.00,55414050.00,134806913.00,265573859.00
Iron Man,2008-05-02,186000000.00,102118668.00,318604126.00,585171547.00
