MCU Leading Cast,,
movie_name,actor_name,character_name
Spider-Man: No Way Home,Tom Holland,Peter Parker/Spider-Man
Spider-Man: No Way Home,Zendaya,Michelle Jones/MJ
Spider-Man: No Way Home,Benedict Cumberbatch,Doctor Strange
Spider-Man: No Way Home,Jon Favreau,Happy Hogan
Spider-Man: No Way Home,Jacob Batalon,Ned Leeds
Spider-Man: No Way Home,Marisa Tomei,May Parker
Spider-Man: No Way Home,Jamie Foxx,Max Dillon/Electro
Spider-Man: No Way Home,Willem Dafoe,Norman Osborn/Green Goblin
Spider-Man: No Way Home,Alfred Molina,Otto Octavius/Doctor Octopus
Spider-Man: No Way Home,Benedict Wong,Wong
Spider-Man: No Way Home,Tony Revolori,Eugene Thompson/Flash
Spider-Man: No Way Home,Andrew Garfield,Peter Parker/Spider-Man
Spider-Man: No Way Home,Tobey Maguire,Peter Parker/Spider-Man
Spider-Man: No Way Home,Thomas Haden Church,Flint Marko/Sandman
Spider-Man: No Way Home,Rhys Ifans,Curt Connors/Lizard
Spider-Man: No Way Home,J.B. Smoove,Julius Dell
Spider-Man: No Way Home,Angourie Rice,Betty Brant
Spider-Man: No Way Home,Jorge Lendeborg Jr,Jason Ionello
Spider-Man: No Way Home,Hannibal Buress,Coach Wilson
Spider-Man: No Way Home,J.K. Simmons,J. Jonah Jameson
Eternals,Kumail Nanjiani,Kingo
Eternals,Angelina Jolie,Thena
Eternals,Richard Madden,Ikaris
Eternals,Salma Hayek,Ajak
Eternals,Brian Tyree Henry,Phastos
Eternals,Lauren Ridloff,Makkari
Eternals,Barry Keoghan,Druig
Eternals,Gemma Chan,Sersi
Eternals,Lia McHugh,Sprite
Eternals,Don Lee,Gilgamesh
Shang-Chi and the Legend of the Ten Rings,Simu Liu,Shang-Chi
Shang-Chi and the Legend of the Ten Rings,Awkwafina,Katy
Shang-Chi and the Legend of the Ten Rings,Meng Zhang,Xialing
Shang-Chi and the Legend of the Ten Rings,Fala Chen,Jiang Li
Shang-Chi and the Legend of the Ten Rings,Florian Munteanu,Razor Fist
Shang-Chi and the Legend of the Ten Rings,Benedict Wong,Wong
Shang-Chi and the Legend of the Ten Rings,Yuen Wah,Guang Bo
Shang-Chi and the Legend of the Ten Rings,Ronny Chieng,Jon Jon
Shang-Chi and the Legend of the Ten Rings,Zach Cherry,Klev
Shang-Chi and the Legend of the Ten Rings,Dallas Liu,Ruihua
Shang-Chi and the Legend of the Ten Rings,Michelle Yeoh,Jiang Nan
Shang-Chi and the Legend of the Ten Rings,Tony Leung,Mandarin
Black Widow,Scarlett Johansson,Natasha Romanoff/Black Widow
Black Widow,Florence Pugh,Yelena Belova
Black Widow,Rachel Weisz,Melina
Black Widow,David Harbour,Alexei/Red Guardian
Black Widow,Ray Winstone,Dreykov
Black Widow,O.T. Fagbenle,Mason
Spider-Man: Far From Home,Tom Holland,Peter Parker/Spider-Man
Spider-Man: Far From Home,Samuel L. Jackson,Nick Fury
Spider-Man: Far From Home,Zendaya,Michelle Jones/MJ
Spider-Man: Far From Home,Jake Gyllenhaal,Quentin Beck/Mysterio
Spider-Man: Far From Home,Cobie Smulders,Maria Hill
Spider-Man: Far From Home,Jon Favreau,Harold Hogan/Happy
Spider-Man: Far From Home,Marisa Tomei,May Parker
Spider-Man: Far From Home,J.B. Smoove,Mr. Dell
Spider-Man: Far From Home,Jacob Batalon,Ned Leeds
Spider-Man: Far From Home,Martin Starr,Mr. Harrington
Avengers: Endgame,Robert Downey Jr.,Tony Stark/Iron Man
Avengers: Endgame,Chris Evans,Steve Rogers/Captain America
Avengers: Endgame,Mark Ruffalo,Bruce Banner/Hulk
Avengers: Endgame,Chris Hemsworth,Thor
Avengers: Endgame,Scarlett Johansson,Natasha Romanoff/Black Widow
Avengers: Endgame,Jeremy Renner,Clint Barton/Hawkeye
Avengers: Endgame,Don Cheadle,James Rhodes/War Machine
Avengers: Endgame,Paul Rudd,Scott Lang/Ant-Man
Avengers: Endgame,Brie Larson,Carol Danvers/Captain Marvel
Avengers: Endgame,Karen Gillan,Nebula
Avengers: Endgame,Danai Gurira,Okoye
Avengers: Endgame,Bradley Cooper,Rocket
Avengers: Endgame,Josh Brolin,Thanos
Avengers: Endgame,Benedict Wong,Wong
Avengers: Endgame,Jon Favreau,Happy Hogan
Avengers: Endgame,Gwyneth Paltrow,Pepper Potts
Avengers: Endgame,Evangeline Lilly,Hope van Dyne/The Wasp
Avengers: Endgame,Benedict Cumberbatch,Dr. Stephen Strange
Avengers: Endgame,Tom Holland,Peter Parker/Spider-Man
