Film,Director(s),Producer 1,Producer 2,Producer 3
Iron Man,Jon Favreau,Avi Arad,Kevin Feige,
The Incredible Hulk,Louis Leterrier,Avi Arad,Kevin Feige,Gale Anne Hurd
Iron Man 2,Jon Favreau,Kevin Feige,,
Thor,Kenneth Branagh,Kevin Feige,,
Captain America: The First Avenger,Joe Johnston,Kevin Feige,,
Marvel's The Avengers,Joss Whedon,Kevin Feige,,
Iron Man 3,Shane Black,Kevin Feige,,
Thor: The Dark World,Alan Taylor,Kevin Feige,,
Captain America: The Winter Soldier,Anthony and Joe Russo,Kevin Feige,,
Guardians of the Galaxy,James Gunn,Kevin Feige,,
Avengers: Age of Ultron,Joss Whedon,Kevin Feige,,
Ant-Man,Peyton Reed,Kevin Feige,,
Captain America: Civil War,Anthony and Joe Russo,Kevin Feige,,
Doctor Strange,Scott Derrickson,Kevin Feige,,
Guardians of the Galaxy Vol. 2,James Gunn,Kevin Feige,,
Spider-Man: Homecoming,Jon Watts,Kevin Feige,Amy Pascal,
Thor: Ragnarok,Taika Waititi,Kevin Feige,,
Black Panther,Ryan Coogler,Kevin Feige,,
Avengers: Infinity War,Anthony and Joe Russo,Kevin Feige,,
Ant-Man and the Wasp,Peyton Reed,Kevin Feige ,Stephen Broussard,
Captain Marvel,Anna Boden and Ryan Fleck,Kevin Feige,,
Avengers: Endgame,Anthony and Joe Russo,Kevin Feige,,
Spider-Man: Far From Home,Jon Watts,Kevin Feige,and Amy Pascal,
Black Widow,Cate Shortland,Kevin Feige,,
Shang-Chi and the Legend of the Ten Rings,Destin Daniel Cretton,Kevin Feige,Jonathan Schwartz,
Eternals,Chloe Zhao,Kevin Feige,Nate Moore,
Spider-Man: No Way Home,Jon Watts,Kevin Feige,Amy Pascal,
,,,,
