Title,Votes,Rating
Iron Man,1009580,7.9
The Incredible Hulk,468281,6.6
Iron Man 2,778956,6.9
Captain America: The First Avenger,804587,6.9
Thor,803807,7.0
The Avengers,1335021,8.0
Iron Man 3,811496,7.1
Thor: The Dark World,645892,6.8
Captain America: The Winter Soldier,800205,7.7
Guardians of the Galaxy,1120411,8.0
Ant-Man,627690,7.3
Avengers: Age of Ultron,815296,7.3
Doctor Strange,674536,7.5
Captain America: Civil War,735277,7.8
Spider-Man: Homecoming,605580,7.4
Thor: Ragnarok,676091,7.9
Guardians of the Galaxy Vol. 2,633407,7.6
Black Panther,702941,7.3
Avengers: Infinity War,973713,8.4
Ant-Man and the Wasp,365318,7.0
Captain Marvel,516568,6.8
Avengers: Endgame,1003125,8.4
Spider-Man: Far from Home,437527,7.4
Black Widow,328153,6.7
Shang-Chi and the Legend of the Ten Rings,307007,7.5
Eternals,224215,6.5
Spider-Man: No Way Home,421715,8.7
